,idx
866,96402
867,54533
868,69863
869,30723
870,265239
871,253573
872,1251
873,129362
874,8488
875,95397
876,256267
877,133813
878,83549
879,15763
880,96920
881,32779
882,133263
883,197843
884,45261
885,128943
886,29429
887,4256
888,214585
889,242618
890,170419
891,108792
892,61071
893,77887
894,91244
895,264379
896,17431
897,143738
898,159929
899,243174
900,6872
901,70242
902,6247
903,264954
904,259304
905,27419
906,209235
907,226184
908,96387
909,83975
910,109101
911,162697
912,35999
913,110447
914,95229
915,139409
916,263492
917,35452
918,39084
919,77886
920,152046
921,157737
922,232864
923,2084
924,121424
925,259795
926,156701
927,229142
928,201179
929,231931
930,22211
931,42418
932,135411
933,53561
934,53005
935,243217
936,244264
937,86741
938,40423
939,228121
940,170024
941,172276
942,159784
943,239819
944,164181
945,22169
946,135216
947,26988
948,237522
949,15023
950,242532
951,103706
952,240629
953,125781
954,74689
955,97053
956,71792
957,236385
958,252605
959,27081
960,132569
961,214082
962,55566
963,4799
964,35830
965,202727
966,223810
967,270845
968,56424
969,3776
970,13799
971,263448
972,35676
973,118198
974,65424
975,95194
976,237787
977,259378
978,183626
979,128457
980,33371
981,220455
982,135148
983,86788
984,107103
985,34848
986,51594
987,162524
988,209165
989,106729
990,12538
991,159814
992,2108
993,250330
994,252123
995,204935
996,18755
997,45244
998,34898
999,29732
1000,200989
1001,257007
1002,162168
1003,240154
1004,194018
1005,86921
1006,42646
1007,55682
1008,113198
1009,129442
1010,202949
1011,196387
1012,27173
1013,152217
1014,37476
1015,110311
1016,128696
1017,88215
1018,242553
1019,125092
1020,41497
1021,37827
1022,186969
1023,102941
1024,8330
1025,126091
1026,21809
1027,122359
1028,234684
1029,44432
1030,13707
1031,167269
1032,45664
1033,203910
1034,100891
1035,147940
1036,259109
1037,145335
1038,127500
1039,45030
1040,228390
1041,86350
1042,187337
1043,31638
1044,35740
1045,6399
1046,244602
1047,253912
1048,103257
1049,147929
1050,50636
1051,128655
1052,106699
1053,55421
1054,32676
1055,126255
1056,139317
1057,5913
1058,125284
1059,91624
1060,180151
1061,109357
1062,41603
1063,13033
1064,270817
1065,145019
1066,155741
1067,153049
1068,120049
1069,95051
1070,107001
1071,129306
1072,144918
1073,253093
1074,15904
1075,212435
1076,263692
1077,199939
1078,229897
1079,78
1080,200176
1081,42274
1082,39032
1083,107778
1084,256087
1085,87901
1086,177323
1087,18795
1088,126570
1089,262424
1090,192986
1091,128862
1092,46536
1093,85324
1094,90522
1095,237224
1096,150297
1097,252125
1098,248026
1099,186086
1100,67045
1101,233162
1102,192491
1103,163783
1104,45694
1105,80605
1106,118247
1107,84464
1108,142377
1109,126923
1110,3390
1111,190585
1112,162209
1113,130019
1114,25418
1115,165443
1116,140340
1117,206282
1118,232994
1119,148423
1120,176977
1121,54369
1122,44250
1123,35449
1124,165639
1125,215970
1126,68333
1127,92916
1128,19558
1129,110395
1130,70027
1131,168910
1132,133172
1133,186330
1134,202315
1135,103246
1136,89005
1137,238612
1138,2315
1139,219640
1140,195393
1141,41723
1142,175584
1143,229947
1144,26720
1145,162834
1146,156189
1147,85821
1148,51502
1149,32650
1150,147733
1151,219855
1152,171194
1153,140902
1154,149257
1155,237249
1156,169642
1157,163742
1158,266111
1159,155724
1160,128959
1161,14101
1162,241457
1163,130091
1164,259938
1165,205107
1166,253903
1167,165682
1168,110349
1169,46062
1170,248658
1171,32924
1172,46083
1173,77749
1174,203220
1175,13388
1176,179158
1177,132957
1178,9363
1179,101147
1180,173725
1181,107243
1182,81901
1183,25928
1184,232891
1185,242973
1186,182594
1187,158662
1188,244247
1189,41102
1190,170346
1191,32272
1192,76121
1193,135236
1194,215742
1195,125378
1196,57041
1197,215871
1198,228552
1199,222137
1200,134434
1201,168563
1202,242948
1203,45042
1204,233110
1205,188463
1206,274
1207,186978
1208,191233
1209,188108
1210,95217
1211,114934
1212,18421
1213,96710
1214,135021
1215,191273
1216,226128
1217,37570
1218,41621
1219,244495
1220,162306
1221,144936
1222,107268
1223,187174
1224,159786
1225,239432
1226,96806
1227,170159
1228,102158
1229,96223
1230,222147
1231,17233
1232,113341
1233,240481
1234,157982
1235,78410
1236,166753
1237,56055
1238,221641
1239,242177
1240,44134
1241,259288
1242,205199
1243,215880
1244,242180
1245,167464
1246,60474
1247,215975
1248,24171
1249,9894
1250,179213
1251,8961
1252,200856
1253,187928
1254,97533
1255,132846
1256,14182
1257,84683
1258,120730
1259,203340
1260,142146
1261,41714
1262,257365
1263,51226
1264,95209
1265,68698
1266,157551
1267,23115
1268,118560
1269,237643
1270,238155
1271,240145
1272,116365
1273,197599
1274,178812
1275,25739
1276,242694
1277,240461
1278,183594
1279,239398
1280,176178
1281,191252
1282,17331
1283,13946
1284,143908
1285,22118
1286,51033
1287,211727
1288,91397
1289,220743
1290,96414
1291,49802
1292,191671
1293,35875
1294,242595
1295,122189
1296,253607
1297,125007
1298,242732
1299,200103
1300,79586
1301,194014
1302,22308
1303,258031
1304,54768
1305,129782
1306,258068
1307,255146
1308,258041
1309,46084
1310,259337
1311,241277
1312,159864
1313,261341
1314,193922
1315,51262
1316,42591
1317,39941
1318,268565
1319,64267
1320,112712
1321,202078
1322,217527
1323,231649
1324,43821
