,idx
1074,69958
1075,118205
1076,203266
1077,138763
1078,208248
1079,33887
1080,32638
1081,126260
1082,166382
1083,142369
1084,99347
1085,143761
1086,231360
1087,142146
1088,57319
1089,39002
1090,78172
1091,87872
1092,211988
1093,33936
1094,95535
1095,65230
1096,14321
1097,230267
1098,71851
1099,225537
1100,37492
1101,32501
1102,263045
1103,255966
1104,29192
1105,265168
1106,105094
1107,268244
1108,182365
1109,66446
1110,67864
1111,214558
1112,191614
1113,118001
1114,72730
1115,164064
1116,191473
1117,160217
1118,1351
1119,152134
1120,64463
1121,159805
1122,39022
1123,85990
1124,263676
1125,2581
1126,69434
1127,193381
1128,33461
1129,3069
1130,94472
1131,95633
1132,128355
1133,37950
1134,200446
1135,3961
1136,235511
1137,221003
1138,178768
1139,77154
1140,10177
1141,104102
1142,177334
1143,261646
1144,75402
1145,211353
1146,231085
1147,100282
1148,102075
1149,1609
1150,200262
1151,66684
1152,195464
1153,44874
1154,185591
1155,24382
1156,217317
1157,12425
1158,204151
1159,176958
1160,229395
1161,143913
1162,212851
1163,80565
1164,42845
1165,98586
1166,258639
1167,77273
1168,164954
1169,29095
1170,143124
1171,45555
1172,268598
1173,162979
1174,255118
1175,55677
1176,183072
1177,221585
1178,188449
1179,89731
1180,207354
1181,150916
1182,216594
1183,216663
1184,111962
1185,7656
1186,149690
1187,116526
1188,70047
1189,201267
1190,105598
1191,241568
1192,17069
1193,14638
1194,251754
1195,188867
1196,71207
1197,207376
1198,257623
1199,205400
1200,161711
1201,39421
1202,263471
1203,170453
1204,95512
1205,233714
1206,226998
1207,111871
1208,218031
1209,95172
1210,259378
1211,117932
1212,159190
1213,47557
1214,6872
1215,113947
1216,202315
1217,118902
1218,218309
1219,264577
1220,5326
1221,41226
1222,97639
1223,189673
1224,173856
1225,115216
1226,30789
1227,235677
1228,121455
1229,225435
1230,72281
1231,103515
1232,38721
1233,256239
1234,88774
1235,82051
1236,44775
1237,94915
1238,250495
1239,88475
1240,138114
1241,186002
1242,103898
1243,161227
1244,62884
1245,181350
1246,8083
1247,176103
1248,37735
1249,114012
1250,44634
1251,214987
1252,121745
1253,192052
1254,193343
1255,7870
1256,226800
1257,201665
